,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
51,51,0.7294817429884581,2023-04-08 21:39:41.593028,2023-04-08 21:40:31.613443,0 days 00:00:50.020415,0.12371950568912857,16384,0.02256073142723159,1e-05,0.05,15.0,COMPLETE
52,52,0.7298218005222865,2023-04-08 21:40:31.614868,2023-04-08 21:41:50.207182,0 days 00:01:18.592314,0.11870585507142555,16384,0.012866487000726743,1e-05,0.05,35.0,COMPLETE
53,53,0.729171092857099,2023-04-08 21:41:50.212769,2023-04-08 21:43:27.028923,0 days 00:01:36.816154,0.11526604973904783,16384,0.03061428513355641,1e-05,0.05,15.0,COMPLETE
54,54,0.7562103407612815,2023-04-08 21:43:27.031251,2023-04-08 21:50:10.269538,0 days 00:06:43.238287,0.10712061412144903,16384,0.023866382408874245,1e-05,0.01,30.0,COMPLETE
55,55,0.7561888189923601,2023-04-08 21:50:10.272203,2023-04-08 21:56:19.469007,0 days 00:06:09.196804,0.10488085708908729,16384,0.024881402130160536,1e-05,0.01,30.0,COMPLETE
56,56,0.5028595719200846,2023-04-08 21:56:19.471027,2023-04-08 21:57:30.146654,0 days 00:01:10.675627,0.10671146040114,2048,0.03681362179586017,1.0,0.01,30.0,COMPLETE
57,57,0.7581221320669759,2023-04-08 21:57:30.152056,2023-04-08 22:03:07.604070,0 days 00:05:37.452014,0.10511458044135287,16384,0.024718658535025716,1e-05,0.01,35.0,COMPLETE
58,58,0.5001411967991048,2023-04-08 22:03:07.609207,2023-04-08 22:03:34.077781,0 days 00:00:26.468574,0.11178801168822426,16384,0.02421598597751086,0.1,0.01,40.0,COMPLETE
59,59,0.7553344010495682,2023-04-08 22:03:34.081469,2023-04-08 22:08:21.605679,0 days 00:04:47.524210,0.1056127934776325,8192,0.010562011317327317,1e-05,0.01,40.0,COMPLETE
60,60,0.7553187681943725,2023-04-08 22:08:21.611673,2023-04-08 22:12:26.369481,0 days 00:04:04.757808,0.10518248204137401,8192,0.01130130689437854,1e-05,0.01,40.0,COMPLETE
61,61,0.7553048398560984,2023-04-08 22:12:26.371877,2023-04-08 22:17:11.188698,0 days 00:04:44.816821,0.10587061206464939,8192,0.01149113602824308,1e-05,0.01,40.0,COMPLETE
62,62,0.755305494749442,2023-04-08 22:17:11.189702,2023-04-08 22:20:50.257274,0 days 00:03:39.067572,0.10506740779213093,8192,0.011944592701956101,1e-05,0.01,40.0,COMPLETE
63,63,0.7553221580043408,2023-04-08 22:20:50.259156,2023-04-08 22:25:20.605400,0 days 00:04:30.346244,0.10653927096732635,8192,0.010594613930532676,1e-05,0.01,40.0,COMPLETE
64,64,0.4975921737646374,2023-04-08 22:25:20.607777,2023-04-08 22:25:48.834744,0 days 00:00:28.226967,0.10614128547525552,8192,0.010413857887223195,0.001,0.01,35.0,COMPLETE
65,65,0.49803767937951604,2023-04-08 22:25:48.839286,2023-04-08 22:26:13.689269,0 days 00:00:24.849983,0.10411445140382236,8192,0.014604299668163496,1e-05,0.01,50.0,COMPLETE
66,66,0.5002142257372603,2023-04-08 22:26:13.693970,2023-04-08 22:26:35.549749,0 days 00:00:21.855779,0.10669830785574215,8192,0.010176739014129334,0.01,0.01,40.0,COMPLETE
67,67,0.50452397117768,2023-04-08 22:26:35.551812,2023-04-08 22:27:23.895037,0 days 00:00:48.343225,0.10314739868973462,8192,0.013441604126961685,1.0,0.01,35.0,COMPLETE
68,68,0.4971668788504012,2023-04-08 22:27:23.899822,2023-04-08 22:27:47.160669,0 days 00:00:23.260847,0.10048995612079031,8192,0.01408084210658037,1e-05,0.01,30.0,COMPLETE
69,69,0.4980374397218737,2023-04-08 22:27:47.162971,2023-04-08 22:28:10.523073,0 days 00:00:23.360102,0.10752409237787006,8192,0.02097993897048513,1e-05,0.01,50.0,COMPLETE
70,70,0.7551863067240931,2023-04-08 22:28:10.524757,2023-04-08 22:31:45.638325,0 days 00:03:35.113568,0.11071071344115997,8192,0.014858882704946487,1e-05,0.01,40.0,COMPLETE
71,71,0.7553446525013399,2023-04-08 22:31:45.643296,2023-04-08 22:36:07.132337,0 days 00:04:21.489041,0.10545197788060662,8192,0.010289361153946235,1e-05,0.01,40.0,COMPLETE
72,72,0.49716627009435777,2023-04-08 22:36:07.134691,2023-04-08 22:36:34.492573,0 days 00:00:27.357882,0.1036718131389525,8192,0.010174939271953388,1e-05,0.01,30.0,COMPLETE
73,73,0.7589330450989238,2023-04-08 22:36:34.495000,2023-04-08 22:42:41.533156,0 days 00:06:07.038156,0.10868277387992467,8192,0.012906253372845958,1e-05,0.01,35.0,COMPLETE
74,74,0.759052970039483,2023-04-08 22:42:41.535288,2023-04-08 22:49:03.885220,0 days 00:06:22.349932,0.10839789808734636,8192,0.016131263236963622,1e-05,0.01,35.0,COMPLETE
75,75,0.4975667995311548,2023-04-08 22:49:03.890797,2023-04-08 22:49:27.826727,0 days 00:00:23.935930,0.10936449386555809,1024,0.016266393861238345,1e-05,0.01,35.0,COMPLETE
76,76,0.5045473281858733,2023-04-08 22:49:27.827963,2023-04-08 22:50:25.627219,0 days 00:00:57.799256,0.11215075840659446,8192,0.019581357588105027,0.1,0.01,35.0,COMPLETE
