,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
78,78,0.5059948167716591,2023-03-31 17:05:27.245579,2023-03-31 17:05:57.069717,0 days 00:00:29.824138,0.17739431153085972,2048,0.08652766043983125,1e-05,0.005,70.0,COMPLETE
79,79,0.7186701241583454,2023-03-31 17:05:57.072512,2023-03-31 17:08:34.893238,0 days 00:02:37.820726,0.16842314792979612,8192,0.0898345345502751,1e-05,0.005,75.0,COMPLETE
80,80,0.5024727183480024,2023-03-31 17:08:34.895744,2023-03-31 17:09:00.225210,0 days 00:00:25.329466,0.17990944350853502,4096,0.08046699149926291,1.0,0.001,65.0,COMPLETE
81,81,0.7396063594772772,2023-03-31 17:09:00.227573,2023-03-31 17:14:27.353980,0 days 00:05:27.126407,0.1733285277463159,8192,0.08783456900715372,1e-05,0.005,65.0,COMPLETE
82,82,0.5055039274325476,2023-03-31 17:14:27.355620,2023-03-31 17:14:49.550922,0 days 00:00:22.195302,0.17304849293041422,8192,0.08795204684937097,1e-05,0.005,70.0,COMPLETE
83,83,0.7424095734036551,2023-03-31 17:14:49.552448,2023-03-31 17:19:36.654317,0 days 00:04:47.101869,0.1761563685252721,8192,0.08435849821534304,1e-05,0.005,65.0,COMPLETE
84,84,0.7429311543000897,2023-03-31 17:19:36.656873,2023-03-31 17:24:27.385086,0 days 00:04:50.728213,0.17672735459914177,8192,0.0833910940629127,1e-05,0.005,65.0,COMPLETE
85,85,0.5027222788492077,2023-03-31 17:24:27.387521,2023-03-31 17:24:51.177020,0 days 00:00:23.789499,0.1722764699370782,1024,0.08262596119433625,0.0001,0.005,65.0,COMPLETE
86,86,0.7468188446900161,2023-03-31 17:24:51.178638,2023-03-31 17:29:10.911718,0 days 00:04:19.733080,0.17637672163516796,8192,0.07599868132406525,1e-05,0.005,75.0,COMPLETE
87,87,0.5015565161523714,2023-03-31 17:29:10.913532,2023-03-31 17:29:31.507363,0 days 00:00:20.593831,0.17578203560864844,8192,0.07905311060236075,1e-05,0.005,80.0,COMPLETE
88,88,0.506540960654049,2023-03-31 17:29:31.510017,2023-03-31 17:29:59.045535,0 days 00:00:27.535518,0.16728549170525495,8192,0.07614672335493447,0.1,0.05,70.0,COMPLETE
